# https://github.com/paiv/fci-breeds/blob/master/fci-breeds.csv
id,name,breed,country
1,ENGLISH POINTER,British and Irish Pointers and Setters,GREAT BRITAIN
2,ENGLISH SETTER,British and Irish Pointers and Setters,GREAT BRITAIN
3,KERRY BLUE TERRIER,Large and medium sized Terriers,IRELAND
4,CAIRN TERRIER,Small sized Terriers,GREAT BRITAIN
5,ENGLISH COCKER SPANIEL,Flushing Dogs,GREAT BRITAIN
6,GORDON SETTER,British and Irish Pointers and Setters,GREAT BRITAIN
7,AIREDALE TERRIER,Large and medium sized Terriers,GREAT BRITAIN
8,AUSTRALIAN TERRIER,Small sized Terriers,AUSTRALIA
9,BEDLINGTON TERRIER,Large and medium sized Terriers,GREAT BRITAIN
10,BORDER TERRIER,Large and medium sized Terriers,GREAT BRITAIN
11,BULL TERRIER,Bull type Terriers,GREAT BRITAIN
12,FOX TERRIER (SMOOTH),Large and medium sized Terriers,GREAT BRITAIN
13,ENGLISH TOY TERRIER (BLACK &TAN),Toy Terriers,GREAT BRITAIN
14,SWEDISH VALLHUND,Nordic Watchdogs and Herders,SWEDEN
15,BELGIAN SHEPHERD DOG,Sheepdogs,BELGIUM
16,OLD ENGLISH SHEEPDOG,Sheepdogs,GREAT BRITAIN
17,GRIFFON NIVERNAIS,Scent hounds,FRANCE
19,BRIQUET GRIFFON VENDEEN,Scent hounds,FRANCE
20,ARIEGEOIS,Scent hounds,FRANCE
21,GASCON SAINTONGEOIS,Scent hounds,FRANCE
22,GREAT GASCONY BLUE,Scent hounds,FRANCE
24,POITEVIN,Scent hounds,FRANCE
25,BILLY,Scent hounds,FRANCE
28,ARTOIS HOUND,Scent hounds,FRANCE
30,PORCELAINE,Scent hounds,FRANCE
31,SMALL BLUE GASCONY,Scent hounds,FRANCE
32,BLUE GASCONY GRIFFON,Scent hounds,FRANCE
33,GRAND BASSET GRIFFON VENDEEN,Scent hounds,FRANCE
34,NORMAN ARTESIEN BASSET,Scent hounds,FRANCE
35,BLUE GASCONY BASSET,Scent hounds,FRANCE
